"PO Report FY2013",,,,,
"Please note that this report contains individual line items for each purchase order.",,,,,
,,,,,
"PO Number","Agency","Commodity","Vendor Name","Ordered DAte","PO amount"
"PO435813","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2003468:PANTS, UNIFORM, ELASTIC, 65% POLYESTER, 35% COMBED COTTON POPLIN","MOORE MEDICAL LLC",12-Sep-12,571.5
"PO435814","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9247400:Special Education","District of Columbia Associati",12-Sep-12,"100,000.00"
"PO435815","DEPARTMENT OF GENERAL SERVICES","6157366:PAPER, NOTEBOOK FILLER, RECYCLED","Capital Services and Supplies",13-Sep-12,"15,273.25"
"PO435816","DEPARTMENT OF GENERAL SERVICES","9989000:Tools, All Types","W W GRAINGER INC",13-Sep-12,"30,000.00"
"PO435817-V2","OFFICE OF CHIEF FINANCIAL OFFICER","3952500:Continuous Form Labels, Pressure Sensitive, Custom","PROFORMA DOCUCOM SERVICES LLC",15-Oct-12,0
"PO435818","OFFICE OF CHIEF FINANCIAL OFFICER","2045446:MICROCOMPUTERS, LAPTOP","DOCUMENT SYSTEMS INC",13-Sep-12,"19,255.00"
"PO435819","DEPARTMENT OF EMPLOYMENT SERVICES","9241800:Educational Services, Alternative","House of Serenity",13-Sep-12,"20,000.00"
"PO435820","DEPARTMENT OF EMPLOYMENT SERVICES","9241800:Educational Services, Alternative","Commercial Retrofitters Recycl",13-Sep-12,"24,000.00"
"PO435822","DEPARTMENT OF HUMAN SERVICES","9362500:Electrical Equipment (Except Cable and Wires, and Lighting Fixtures) Maintenance and Repair","Static Power Conversion Services, Inc.",13-Sep-12,"7,500.00"
"PO435823","FIRE AND EMERGENCY MEDICAL SERVICES","3404500:Fireman Training and Instructional Aids and Materials","FAAC INCORPORATED",13-Sep-12,"9,000.00"
"PO435824","FIRE AND EMERGENCY MEDICAL SERVICES","3404500:Fireman Training and Instructional Aids and Materials","FAAC INCORPORATED",13-Sep-12,"9,690.00"
"PO435827","DEPARTMENT OF CORRECTIONS","9885652:LITTER REMOVAL AND DISPOSAL SERVICES FOR GOVERNMENT OWNED AND/OR LEASED AREAS","URBAN SERVICES SYSTEMS CORP",13-Sep-12,"32,000.00"
"PO435828","OFFICE OF THE ATTORNEY GENERAL","6152303:MATS, CHAIR, ACRYLIC PLASTIC, CRYSTAL CLEAR, SHATTER PROOF, REVERSIBLE, (NOT RECOMMENDED FOR USE WITH CARPET CASTERS)","LASER ART INC",13-Sep-12,"15,817.13"
"PO435829","DEPARTMENT OF TRANSPORTATION","9251700:Civil Engineering","METRO PAVING COMPANY",5-Oct-12,"9,220.94"
"PO435830","DEPARTMENT OF EMPLOYMENT SERVICES","9625800:Professional Services (Not Otherwise Classified)","Dupont Computers",13-Sep-12,"4,432.50"
"PO435831","DEPART OF YOUTH REHABILITATION SERVICES","CLEANER, DISINFECTANT/DEODORIZER, AEROSOL","Capital Services and Supplies",13-Sep-12,"10,000.00"
"PO435832","DEPT. OF HOUSING AND COMM. DEVELOPMENT","2077293:TONER CARTRIDGES (BRAND LISTED OR EQUAL)","MVS, Inc.",13-Sep-12,"28,153.19"
"PO435832","DEPT. OF HOUSING AND COMM. DEVELOPMENT","2077248:LABELS, LASER PRINTER, FOR FILE FOLDERS, PERMANENT, SELF-ADHESIVE","MVS, Inc.",13-Sep-12,"171,594.74"
"PO435833","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9622400:Courier/Delivery Services (Including Air Courier Services)","WORKSPACES LLC",13-Sep-12,"15,000.00"
"PO435833","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","4259492:WORKSTATION, MULTIPURPOSE, DATA PROCESSING","WORKSPACES LLC",13-Sep-12,"48,951.92"
"PO435834","DEPARTMENT OF GENERAL SERVICES","9716500:Room Rental for Conferences, Seminars, etc.","WASH CONVENT CENTER AUTHORITY",13-Sep-12,"6,884.00"
"PO435835-V3","DEPARTMENT ON DISABILITY SERVICES","2045340:MICROCOMPUTERS, DESKTOP","Dell Computer Corp.",18-Sep-12,"54,686.00"
"PO435836","DEPARTMENT OF GENERAL SERVICES","9582600:Construction Management Services","TURNER CONSTRUCTION COMPANY",13-Sep-12,"80,121.37"
"PO435837","DEPART OF YOUTH REHABILITATION SERVICES","6406607:BAGS, PAPER, RECYCLED, KRAFT","MDM Office Systems DBA Standard Office Supply",13-Sep-12,"10,000.00"
"PO435838","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9611500:Concessions, Catering, Vending: Mobile and Stationary","DUTCHMILL CATERERS",13-Sep-12,"2,090.00"
"PO435839","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7151037:BOOKS, LIBRARY","ASSOCIATION FOR SUPERVISION AN",13-Sep-12,317.25
"PO435839","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9628600:Transportation of Goods and other Freight Services","ASSOCIATION FOR SUPERVISION AN",13-Sep-12,14
"PO435840","DEPARTMENT OF GENERAL SERVICES","9582600:Construction Management Services","HRY Design, LLC",13-Sep-12,"12,032.00"
"PO435841","DEPARTMENT OF MENTAL HEALTH","9582600:Construction Management Services","Greenscape Environmental",13-Sep-12,"4,570.00"
"PO435842","DEPARTMENT OF MENTAL HEALTH","6005100:Detacher, Forms","SCREENING FOR MENTAL HEALTH",13-Sep-12,"1,090.00"
"PO435842","DEPARTMENT OF MENTAL HEALTH","9150900:Audio/Video Production Services Complete","SCREENING FOR MENTAL HEALTH",13-Sep-12,975
"PO435842","DEPARTMENT OF MENTAL HEALTH","9982800:Communication Equipment (Including Radio, Television, Telephone, VCR, Video/Audio Equipment, etc.)","SCREENING FOR MENTAL HEALTH",13-Sep-12,"2,310.00"
"PO435842","DEPARTMENT OF MENTAL HEALTH","8403410:AUDIO/VIDEO MIXER/SPECIAL EFFECT GENERATORS","SCREENING FOR MENTAL HEALTH",13-Sep-12,300
"PO435843","BOARD OF ELECTIONS","9152800:Electronic Information and Mailing Services","VRS COMPANY, INC.",13-Sep-12,"7,437.60"
"PO435844","DC PUBLIC LIBRARY","9625800:Professional Services (Not Otherwise Classified)","DUARTEK INC",13-Sep-12,439
"PO435844","DC PUBLIC LIBRARY","7255884:TELECOMMUNICATIONS DEVICE FOR THE DEAF","DUARTEK INC",13-Sep-12,"5,974.00"
"PO435845","BOARD OF ELECTIONS","9152430:CABLE TELEVISION SERVICES","COMCAST SPOTLIGHT",13-Sep-12,"15,000.00"
"PO435846","D.C. DEPARTMENT OF HUMAN RESOURCES","9183800:Education and Training Consulting","TAI PEDRO & ASSOCIATES P C",13-Sep-12,"99,000.00"
"PO435847","DEPARTMENT OF PUBLIC WORKS","9673700:Electrical and Electronic Products (Incl. Computers and Peripherals)","General Services, Inc.",13-Sep-12,"7,000.00"
"PO435848","DEPARTMENT OF GENERAL SERVICES","9582600:Construction Management Services","HR GENERAL MAINTENANCE CORP",13-Sep-12,"56,112.00"
"PO435849","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","General Merchandise Supplies",13-Sep-12,"4,550.00"
"PO435850","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9071400:Architectural Services, Non-Licensed (Not Otherwise Classified)","Hickok Cole Architects",13-Sep-12,"20,000.00"
"PO435851","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","APPLE COMPUTER INC",13-Sep-12,"4,610.30"
"PO435852","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","CDW Government, Inc.",13-Sep-12,"1,314.75"
"PO435853","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9666100:Offset Printing, Large Production Runs (Quan. Over 100,000); 4 Color Process or Close Registration Required: Color Brochures, Maps, etc.","SKY,LLC DBA/US-OFFICE SOLUTION",13-Sep-12,463.84
"PO436012","DEPARTMENT OF GENERAL SERVICES","9363800:Glass and Glazing Equipment Maintenance and Repair","ATLAS GLASS CO, INC.",13-Sep-12,"10,000.00"
"PO436014","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9155189:WEB ACCESS - INTERNET SERVICE PROVIDER","SMART CITY NETWORKS LP",13-Sep-12,"5,066.81"
"PO436015","STATE SUPERINTENDENT OF EDUCATION (OSSE)","7153000:Display, Exhibit, and Promotional Materials","FREEMAN",13-Sep-12,"4,406.85"
"PO436016","OFFICE OF CHIEF TECHNOLOGY OFFICER","9582300:Computer Management Services","PAYPAL, INC.",13-Sep-12,"7,500.00"
"PO436017","OFFICE OF CONTRACTING AND PROCUREMENT","9180600:Administrative Consulting","PRM CONSULTING INC",13-Sep-12,"10,000.00"
"PO436018","DISTRICT DEPARTMENT OF THE ENVIRONMENT","9662200:Decal Printing","COMPREHENSIVE LANGUAGE CENTER",13-Sep-12,"1,020.51"
"PO436019","DEPARTMENT OF GENERAL SERVICES","9816100:Recreational, Park, Picnic and Playground Equipment and Accessories Rental or Lease","FLAGHOUSE, INC.",13-Sep-12,"27,929.94"
"PO436020","FIRE AND EMERGENCY MEDICAL SERVICES","3403420:COATS, FIREFIGHTER, TURNOUT","GLOBE MANUFACTURING COMPANY",13-Sep-12,"53,089.02"
"PO436020","FIRE AND EMERGENCY MEDICAL SERVICES","3403460:PANTS, BUNKER, FIREFIGHTER","GLOBE MANUFACTURING COMPANY",13-Sep-12,"36,686.52"
"PO436021","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9183800:Education and Training Consulting","KAGAN COOPERATIVE LEARNING",13-Sep-12,"11,348.00"
"PO436022","DEPARTMENT OF HEALTH","9150300:Advertising/Public Relations","THE WASHINGTON POST",13-Sep-12,"8,835.00"
"PO436023","DEPARTMENT OF HEALTH","9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME","On Computer Services",13-Sep-12,"6,147.30"
"PO436024","FIRE AND EMERGENCY MEDICAL SERVICES","3408700:Training Equipment and Supplies, Fire and Safety","KIDDE FIRE TRAINERS, INC.",13-Sep-12,"42,000.00"
"PO436025","CRIMINAL JUSTICE COORDINATING COUNCIL","9625800:Professional Services (Not Otherwise Classified)","MICROSOFT CORPORATION",13-Sep-12,"61,720.00"
"PO436026","DEPARTMENT OF TRANSPORTATION","9132700:Construction, Highway and Road","Traffic Systems and Technology",13-Sep-12,"95,450.00"
"PO436027","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9183800:Education and Training Consulting","MARY BETH CROWDER-MEIER",13-Sep-12,"4,500.00"
"PO436028","BOARD OF ELECTIONS","5783400:Election and Voter Equipment and Supplies, Electronic","Election Systems & Software, LLC",13-Sep-12,"173,085.00"
"PO436030","EQUIPMENT LEASE - CAPITAL","0659000:Van Truck Bodies","CRISWELL CHEVEROLET, INC.",13-Sep-12,"110,646.12"
"PO436031","DEPARTMENT OF TRANSPORTATION","9183800:Education and Training Consulting","The Washington Consulting Team",13-Sep-12,"9,000.00"
"PO436032","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","APPLE COMPUTER INC",13-Sep-12,"4,083.00"
"PO436033","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9247400:Special Education","Dell Computer Corp.",13-Sep-12,"2,413.95"
"PO436034","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2094400:Educational: Foreign Languages, Math, Science, Social Studies, etc.","MAYER-JOHNSON LLC",13-Sep-12,"2,793.00"
"PO436035","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2045446:MICROCOMPUTERS, LAPTOP","Dell Computer Corp.",13-Sep-12,"2,294.26"
"PO436036-V2","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9625800:Professional Services (Not Otherwise Classified)","HILTON GARDEN INN DOWNTOWN DC",24-Sep-12,0
"PO436037","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9625800:Professional Services (Not Otherwise Classified)","Priority Professional Development",13-Sep-12,"3,700.00"
"PO436038","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","0375222:BAGS: IMPRINTED, PRINTED OR SCREEN PRINTED","CUSTOMINK, LLC",13-Sep-12,"2,940.00"
"PO436039","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9183800:Education and Training Consulting","Dreams Work, Inc",13-Sep-12,"4,500.00"
"PO436040","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","SCHOOL SPECIALTY",13-Sep-12,936.57
"PO436042","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9628700:Travel, Local (Provided by Third Party)","MARC PARC PARKING",13-Sep-12,"5,600.00"
"PO436043","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9628700:Travel, Local (Provided by Third Party)","MARC PARC PARKING",13-Sep-12,"8,400.00"
"PO436044","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9247400:Special Education","Accelify, LLC",13-Sep-12,"85,000.00"
"PO436046","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7858700:Resource Books and Materials (Not Otherwise Classified)","DISCOVERY EDUCATION, INC.",13-Sep-12,"5,416.20"
"PO436046","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9204584:TECHNICAL SUPPORT, ONLINE ELECTRONIC","DISCOVERY EDUCATION, INC.",13-Sep-12,"25,404.62"
"PO436047","DEPARTMENT OF HEALTH CARE FINANCE","9462000:Auditing","BERT SMITH & COMPANY",13-Sep-12,"1,221,595.00"
"PO436048","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7858700:Resource Books and Materials (Not Otherwise Classified)","HOUGHTON MIFFLIN CO INC",13-Sep-12,"4,994.53"
"PO436049","DEPARTMENT OF CORRECTIONS","HOLDERS, TRASH RECEPTACLE","Associated Supply Industries",13-Sep-12,"3,980.10"
"PO436049","DEPARTMENT OF CORRECTIONS","4851047:BRUSHES, CLEANING","Associated Supply Industries",13-Sep-12,944.4
"PO436050","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2062510:COMPUTER SYSTEMS, DIGITAL, DEC OR EQUAL","APPLE COMPUTER INC",13-Sep-12,29
"PO436050","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2045327:COMPUTER SYSTEM (CPU, MONITOR, AND KEYBOARD)","APPLE COMPUTER INC",13-Sep-12,"10,675.00"
"PO436051","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2047659:PRINTERS, INKJET, BRAND AND MODEL LISTED OR EQUAL","OFFICE DEPOT",13-Sep-12,284.99
"PO436051","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7257470:RADIOS, TWO-WAY, WALKIE TALKIE, PARTS AND ACCESSORIES","OFFICE DEPOT",13-Sep-12,503.7
"PO436052","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","METROPOLITAN OFFICE PRODUCTS",13-Sep-12,"2,855.28"
"PO436053","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","OFFICE DEPOT",13-Sep-12,566.38
"PO436054","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9625800:Professional Services (Not Otherwise Classified)","APPLE COMPUTER INC",13-Sep-12,"59,165.55"
"PO436055","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9247400:Special Education","APPLE COMPUTER INC",13-Sep-12,"11,344.65"
"PO436056","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9241800:Educational Services, Alternative","TELTRONIC INC",13-Sep-12,"1,883.00"
"PO436057","DEPARTMENT OF TRANSPORTATION","9183800:Education and Training Consulting","CATHOLIC UNIVERSITY OF AMERICA",13-Sep-12,"104,170.00"
"PO436058","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7158500:Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions)","BARNES & NOBLE BOOKSELLERS INC",13-Sep-12,"1,055.25"
"PO436059","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2001075:SHIRTS, ATHLETIC, TANK TOP, 100% COTTON, 5.6 OZ., SHOULDER STRAPS","METROPOLITAN OFFICE PRODUCTS",13-Sep-12,349.75
"PO436060","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","0456664:REFRIGERATOR, MANUAL DEFROST, SINGLE DOOR, TOP MOUNT FREEZER, ADJUSTABLE SHELVESMINIMUM 1 ICE CUBE TRAY. ADJUSTABLE COLD CONTROL, PRODUCE CRISPER. DOOR SHELVES, CABINET LEVELERS.","METROPOLITAN OFFICE PRODUCTS",13-Sep-12,"3,999.90"
"PO436061","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9240500:Advisory Services, Educational","BARNES & NOBLE BOOKSELLERS INC",13-Sep-12,108.15
"PO436062","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9247400:Special Education","SUPER DUPER PUBLICATIONS",13-Sep-12,"1,331.40"
"PO436063","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9628600:Transportation of Goods and other Freight Services","ALFAX WHOLESALE FURNITURE, INC",13-Sep-12,215.4
"PO436063","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","4202411:CHAIRS, METAL, FOLDING (PORTABLE)","ALFAX WHOLESALE FURNITURE, INC",13-Sep-12,900
"PO436064","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7858700:Resource Books and Materials (Not Otherwise Classified)","BENCHMARK EDUCATION COMPANY",13-Sep-12,634
"PO436064","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9628600:Transportation of Goods and other Freight Services","BENCHMARK EDUCATION COMPANY",13-Sep-12,63.4
"PO436065","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9666100:Offset Printing, Large Production Runs (Quan. Over 100,000); 4 Color Process or Close Registration Required: Color Brochures, Maps, etc.","SKY,LLC DBA/US-OFFICE SOLUTION",13-Sep-12,347.88
"PO436066","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7158500:Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions)","LAKESHORE LEARNING MATERIALS",13-Sep-12,606.1
"PO436067","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7158500:Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions)","PEARSON EDUCATION, INC.",13-Sep-12,"1,316.70"
"PO436067","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9628600:Transportation of Goods and other Freight Services","PEARSON EDUCATION, INC.",13-Sep-12,131.67
"PO436068","FIRE AND EMERGENCY MEDICAL SERVICES","3408700:Training Equipment and Supplies, Fire and Safety","LAERDAL MEDICAL CORPORATION",13-Sep-12,"22,109.97"
"PO436069","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2077983:TONER CARTRIDGES, LASER PRINTER, REMANUFACTURED","LASER ART INC",13-Sep-12,407.99
"PO436070","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9666100:Offset Printing, Large Production Runs (Quan. Over 100,000); 4 Color Process or Close Registration Required: Color Brochures, Maps, etc.","LASER ART INC",13-Sep-12,"1,843.50"
"PO436071","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7858700:Resource Books and Materials (Not Otherwise Classified)","HOUGHTON MIFFLIN CO INC",13-Sep-12,434.88
"PO436072","OFFICE OF CONTRACTING AND PROCUREMENT","6453328:PAPER, COPY, 100% RECYCLED, CHLORINE FREE","Capital Services and Supplies",13-Sep-12,"8,737.50"
"PO436073","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9628600:Transportation of Goods and other Freight Services","ATTAINMENT COMPANY, INC.",13-Sep-12,35
"PO436073","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7151264:REFERENCE BOOKS, SECRETARIAL AND GENERAL OFFICE INSTRUCTION","ATTAINMENT COMPANY, INC.",13-Sep-12,700
"PO436074","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","APPLE COMPUTER INC",13-Sep-12,856.6
"PO436075","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9183800:Education and Training Consulting","Live It Learn It",13-Sep-12,"1,000.00"
"PO436076","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9247400:Special Education","MANSON WESTERN CORPORATION",13-Sep-12,"2,853.40"
"PO436077","HOMELAND SECURITY/EMERGENCY MANAGEMENT","9152200:Communications Marketing Services","COMCAST SPOTLIGHT",13-Sep-12,"9,999.40"
"PO436078","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2041308:ADAPTERS, COMPUTER CABLE","APPLE COMPUTER INC",13-Sep-12,590
"PO436079","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9241800:Educational Services, Alternative","CULTURAL ALLIANCE OF GREATER",13-Sep-12,"13,500.00"
"PO436080","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7858700:Resource Books and Materials (Not Otherwise Classified)","CORWIN PRESS",13-Sep-12,"1,986.60"
"PO436081","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6453337:PAPER, COPIER, MULTI-PURPOSE","SCHOOL SPECIALTY",13-Sep-12,217.39
"PO436081","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2094800:Games: Adventure, Board, Puzzles, Strategy, etc.(See 037-84; 208-47; 785-53; and 805-51 for other type games)","SCHOOL SPECIALTY",13-Sep-12,404.32
"PO436082","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","GLIDES, OFFICE CHAIR","KRUEGER INTERNATIONAL, INC.",13-Sep-12,100
"PO436083","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2077241:CARTRIDGE KITS, REFILLABLE TONER, SNAP AND SAVE STARTER KIT, FOR CANON PRINTERS (KIT INCLUDES ONE CARTRIDGE PRINTHEAD AND TWO INK RESERVOIRS)","LASER ART INC",13-Sep-12,"4,992.27"
"PO436085","METROPOLITAN POLICE DEPARTMENT","6552525:BAG, CAMERA, NYLON, HEAVY DUTY FOAM BETWEEN OUTER AND INNER LINING, HEAVY DUTY ZIPPERS, SIDE AND END POCKETS, ADJUSTABLE INTERIOR DIVIDERS","MVS, Inc.",13-Sep-12,"1,270.15"
"PO436085","METROPOLITAN POLICE DEPARTMENT","2041419:CAMERAS, DIGITAL (BRAND LISTED OR EQUAL)","MVS, Inc.",13-Sep-12,"19,132.75"
"PO436086","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9204584:TECHNICAL SUPPORT, ONLINE ELECTRONIC","APPLE COMPUTER INC",13-Sep-12,"37,806.48"
"PO436087","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9241800:Educational Services, Alternative","MORGANS INC",13-Sep-12,"5,000.00"
"PO436088","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","8058900:Umpire, Referee, and Coach Equipment, Clothing and Supplies","PEMBROKE WEST ASSOCIATES INC",13-Sep-12,"3,874.56"
"PO436089","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9666100:Offset Printing, Large Production Runs (Quan. Over 100,000); 4 Color Process or Close Registration Required: Color Brochures, Maps, etc.","PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers",13-Sep-12,611.2
"PO436090","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9981800:Books, All Types (Library, School, etc.)","BARNES & NOBLE BOOKSTORE",13-Sep-12,"1,022.09"
"PO436091","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9241636:DEVELOPMENT, COURSE, FOR ENVIRONMENTAL TRAINING","SCHOLASTIC, INC.",13-Sep-12,"4,000.00"
"PO436092","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2086775:SOFTWARE, MICROCOMPUTER, SUBSCRIPTIONS","BRAINPOP LLC",13-Sep-12,995
"PO436093","DEPARTMENT OF HEALTH","9625800:Professional Services (Not Otherwise Classified)","CLINICAL PHARMACY ASSOCIATES I",13-Sep-12,"449,210.00"
"PO436094","DEPARTMENT OF HEALTH","9150300:Advertising/Public Relations","ARBITRON INC.",13-Sep-12,"10,000.00"
"PO436095","D.C. DEPARTMENT OF HUMAN RESOURCES","9183800:Education and Training Consulting","THE OLIMONE GROUP, INC",13-Sep-12,"3,380.00"
"PO436254","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9247400:Special Education","NATIONAL SPEECH/LANGUAGE",13-Sep-12,"100,000.00"
"PO436255","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9240500:Advisory Services, Educational","Richard L. Patterson Sr.",13-Sep-12,"2,500.00"
"PO436256","SPECIAL EDUCATION TRANSPORTATION","9200244:GLOBAL POSITIONING SYSTEM (GPS) SUBSCRIPTION SERVICE","NAVMAN WIRELESS NORTH AMERICA",13-Sep-12,"44,644.00"
"PO436257","DC NATIONAL GUARD","9242500:For Credit Classes, Seminars, Workshops, etc.","Grant Corporation",14-Sep-12,"2,604.24"
"PO436258","DC NATIONAL GUARD","9242500:For Credit Classes, Seminars, Workshops, etc.","AMERICAN PUBLIC UNIVERSITY SYS",14-Sep-12,"1,500.00"
"PO436259","DEPARTMENT OF GENERAL SERVICES","9187400:Legal Consulting","LEFTWICH & LUDAWAY",14-Sep-12,"25,000.00"
"PO436260","DEPARTMENT OF HEALTH","2065472:SOFTWARE, GEOGRAPHIC INFORMATION SYSTEMS (GIS), PRE-PACKAGED","Dell Computer Corp.",14-Sep-12,"18,154.40"
"PO436261","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7158700:Textbooks: 9th thru 12th Grade (Includes Student and Teacher Editions)","BARNES & NOBLE BOOKSELLERS INC",14-Sep-12,680.44
"PO436262","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7858700:Resource Books and Materials (Not Otherwise Classified)","GOODHEART-WILLCOX COMPANY, INC",14-Sep-12,"1,198.66"
"PO436262","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7158700:Textbooks: 9th thru 12th Grade (Includes Student and Teacher Editions)","GOODHEART-WILLCOX COMPANY, INC",14-Sep-12,"2,640.00"
"PO436263","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","International Baccalaureate",14-Sep-12,"1,906.77"
"PO436264","OFFICE OF THE INSPECTOR GENERAL","6804525:BOXES, AMMUNITION (CALIBER), METAL","DJ NIEMAN INC",14-Sep-12,"3,680.00"
"PO436265-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9247400:Special Education","NATIONAL SPEECH/LANGUAGE",27-Sep-12,"62,000.00"
"PO436266","DEPARTMENT OF GENERAL SERVICES","9582600:Construction Management Services","W S JENKS & SON",15-Nov-12,"12,193.00"
"PO436267","DEPARTMENT OF GENERAL SERVICES","9582600:Construction Management Services","KEYSTONE PLUS CONSTRUCTION COR",14-Sep-12,"7,316.52"
"PO436268","DEPARTMENT OF CORRECTIONS","9201400:Applications Software (For Minicomputer Systems)","PAULETTE WASHINGTON",14-Sep-12,"10,050.00"
"PO436269","DEPARTMENT OF GENERAL SERVICES","9582600:Construction Management Services","MCN BUILD, LLC",14-Sep-12,"474,776.50"
"PO436270","DEPARTMENT OF GENERAL SERVICES","9582600:Construction Management Services","TURNER CONSTRUCTION COMPANY",14-Sep-12,"101,776.00"
"PO436271-V2","OFFICE OF PEOPLE'S COUNSEL","9636400:Registration Fees","CLASMA EVENTS INC",20-Sep-12,0
"PO436272","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7858700:Resource Books and Materials (Not Otherwise Classified)","LAKESHORE LEARNING MATERIALS",14-Sep-12,264.1
"PO436273","OFFICE OF PEOPLE'S COUNSEL","6153345:ORGANIZERS, DESK SUPPLIES","Capital Services and Supplies",14-Sep-12,"1,714.77"
